Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https%3A%2F%2Fg1.globo.com%2F,40,0,640.0,671.9703879250801,506.4512320004724,915.742995999608,69322.0,0.6796458763656414,0.0,680,750,770,780,830,880,920,920,920,920,920
GET,/?url=https%3A%2F%2Fnews.yahoo.com%2F,32,0,1100.0,1196.6645235314388,881.9469180007218,1826.5116450002097,46531.15625,0.5437167010925131,0.0,1100,1200,1400,1400,1500,1500,1800,1800,1800,1800,1800
GET,/?url=https%3A%2F%2Fwww.bbc.com%2Fportuguese,24,0,160.0,185.99292108338736,107.07985299995926,486.1398630000622,20654.0,0.4077875258193849,0.0,170,190,240,250,250,330,490,490,490,490,490
GET,/?url=https%3A%2F%2Fwww.cnnbrasil.com.br%2F,31,0,1000.0,857.8660067742901,400.9890950001136,1222.1872779991827,52583.0,0.5267255541833721,0.0,1000,1100,1100,1100,1100,1200,1200,1200,1200,1200,1200
GET,/?url=https%3A%2F%2Fwww.estadao.com.br%2F,19,0,390.0,428.18482531588654,261.4550779999263,715.368430000126,66102.0,0.32283179127367967,0.0,390,450,510,570,600,720,720,720,720,720,720
GET,/?url=https%3A%2F%2Fwww.folha.uol.com.br%2F,15,0,440.0,480.32355273359525,285.91952200076776,827.5384529997609,93574.0,0.2548672036371155,0.0,440,590,620,650,690,830,830,830,830,830,830
GET,/?url=https%3A%2F%2Fwww.globo.com%2F,27,0,580.0,652.258018925918,517.9971799998384,1050.5593570005658,47980.62962962963,0.458760966546808,0.0,580,670,720,800,820,1000,1100,1100,1100,1100,1100
GET,/?url=https%3A%2F%2Fwww.r7.com%2F,22,0,260.0,317.07284340915396,219.42216000024928,551.9155760002832,28639.0,0.37380523200110277,0.0,290,350,370,370,500,530,550,550,550,550,550
GET,/?url=https%3A%2F%2Fwww.terra.com.br%2Fnoticias%2F,24,0,950.0,1009.6062796666274,748.7524010002744,1562.2816469995087,79410.91666666667,0.4077875258193849,0.0,970,1000,1100,1100,1300,1400,1600,1600,1600,1600,1600
GET,/?url=https%3A%2F%2Fwww.uol.com.br%2F,25,0,310.0,300.126494080032,189.02804200024548,419.7632000004887,83046.0,0.4247786727285259,0.0,310,340,370,390,410,420,420,420,420,420,420
,Aggregated,259,0,580.0,648.2254968649428,107.07985299995926,1826.5116450002097,57740.312741312744,4.400707049467528,0.0,580,790,950,1000,1100,1300,1500,1500,1800,1800,1800
