Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https%3A%2F%2Fg1.globo.com%2F,5,0,22,120.13316699994903,17.733930000758846,517.383610998877,69322.0,0.08617896442172147,0.0,22,22,22,520,520,520,520,520,520,520,520
GET,/?url=https%3A%2F%2Fnews.yahoo.com%2F,3,0,19,392.4272720002288,16.92462900064129,1141.4688330005447,46314.0,0.05170737865303288,0.0,19,19,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/?url=https%3A%2F%2Fwww.bbc.com%2Fportuguese,2,0,18.224968000140507,95.4832309998892,18.224968000140507,172.7414939996379,20710.0,0.03447158576868859,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/?url=https%3A%2F%2Fwww.estadao.com.br%2F,2,0,18.019105000348645,206.67478000086703,18.019105000348645,395.3304550013854,66808.0,0.03447158576868859,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/?url=https%3A%2F%2Fwww.folha.uol.com.br%2F,3,0,22,138.48008233314127,19.08030499907909,374.3756210005813,93943.0,0.05170737865303288,0.0,22,22,370,370,370,370,370,370,370,370,370
GET,/?url=https%3A%2F%2Fwww.globo.com%2F,5,0,20,303.72258919924207,19.029788998523145,1439.4548979998945,47941.0,0.08617896442172147,0.0,20,21,21,1400,1400,1400,1400,1400,1400,1400,1400
GET,/?url=https%3A%2F%2Fwww.r7.com%2F,4,0,20,116.69861549944471,18.091613001161022,407.900135998716,28651.0,0.06894317153737718,0.0,21,21,410,410,410,410,410,410,410,410,410
GET,/?url=https%3A%2F%2Fwww.terra.com.br%2Fnoticias%2F,7,0,21,142.55680285714334,17.982604000280844,875.3905719986506,79268.0,0.12065055019041007,0.0,21,22,22,22,880,880,880,880,880,880,880
GET,/?url=https%3A%2F%2Fwww.uol.com.br%2F,4,0,23,64.82811050000237,19.518633000188856,193.60066599983838,83293.0,0.06894317153737718,0.0,24,24,190,190,190,190,190,190,190,190,190
,Aggregated,35,0,21,172.58061114272485,16.92462900064129,1439.4548979998945,62422.114285714284,0.6032527509520503,0.0,21,22,170,370,520,1100,1400,1400,1400,1400,1400
