Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https%3A%2F%2Fg1.globo.com%2F,33,0,16000.0,17027.744507151496,12587.569931999951,26147.08805800001,69807.0,0.512213960587141,0.0,16000,16000,17000,23000,24000,26000,26000,26000,26000,26000,26000
GET,/?url=https%3A%2F%2Fnews.yahoo.com%2F,26,0,23000.0,25042.98669207693,18408.975932999965,36599.38246399997,46560.346153846156,0.40356251440198987,0.0,23000,27000,28000,29000,34000,35000,37000,37000,37000,37000,37000
GET,/?url=https%3A%2F%2Fwww.bbc.com%2Fportuguese,32,0,13000.0,13864.57278671874,3062.6286049999862,25457.722407000005,20812.0,0.49669232541783365,0.0,13000,16000,18000,18000,23000,25000,25000,25000,25000,25000,25000
GET,/?url=https%3A%2F%2Fwww.cnnbrasil.com.br%2F,31,0,15000.0,15307.04707487096,6634.646092000025,27212.15316100006,53436.67741935484,0.4811706902485264,0.0,15000,16000,17000,20000,22000,23000,27000,27000,27000,27000,27000
GET,/?url=https%3A%2F%2Fwww.estadao.com.br%2F,28,0,16000.0,16547.52370457142,10647.264327000015,24320.832682999935,68123.78571428571,0.43460578474060446,0.0,16000,17000,20000,20000,22000,23000,24000,24000,24000,24000,24000
GET,/?url=https%3A%2F%2Fwww.folha.uol.com.br%2F,34,0,15000.0,16693.470836205874,9213.052245999961,27275.174466999943,92205.0,0.5277355957564482,0.0,15000,17000,19000,22000,24000,25000,27000,27000,27000,27000,27000
GET,/?url=https%3A%2F%2Fwww.globo.com%2F,25,0,21000.0,20795.899212000008,13445.793123000043,30654.55947800001,48276.64,0.38804087923268255,0.0,21000,23000,24000,25000,25000,30000,31000,31000,31000,31000,31000
GET,/?url=https%3A%2F%2Fwww.r7.com%2F,29,0,14000.0,14509.351887413804,6043.408609000039,23714.172598000005,78767.0,0.4501274199099118,0.0,14000,14000,15000,17000,23000,23000,24000,24000,24000,24000,24000
GET,/?url=https%3A%2F%2Fwww.terra.com.br%2Fnoticias%2F,20,0,14000.0,15261.639380500006,12667.44394500006,22500.044053000012,82043.0,0.31043270338614604,0.0,15000,15000,16000,18000,19000,23000,23000,23000,23000,23000,23000
GET,/?url=https%3A%2F%2Fwww.uol.com.br%2F,30,0,14000.0,14232.055803666668,5724.223300999938,25062.043515000027,82325.0,0.46564905507921905,0.0,14000,15000,16000,16000,19000,20000,25000,25000,25000,25000,25000
,Aggregated,288,0,15000.0,16788.159132430555,3062.6286049999862,36599.38246399997,64169.881944444445,4.470230928760503,0.0,15000,18000,20000,22000,24000,26000,31000,34000,37000,37000,37000
