Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1731102150,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1731102151,50,,Aggregated,0.000000,0.000000,790,790,800,800,890,890,890,890,890,890,890,6,0,660.0,662.511702833342,359.9049089999653,893.6312280000038,50254.0
1731102152,50,,Aggregated,0.000000,0.000000,790,800,890,890,1100,1100,1100,1100,1100,1100,1100,8,0,660.0,675.8710442500302,304.00235500007966,1127.8957820001096,59507.25
1731102153,50,,Aggregated,1.000000,0.000000,700,790,890,890,1100,2700,2700,2700,2700,2700,2700,12,0,660.0,785.7825559166828,237.85106999991967,2680.85487299993,63701.166666666664
1731102154,50,,Aggregated,3.500000,0.000000,790,1100,2700,3300,3700,3900,3900,3900,3900,3900,3900,19,0,790.0,1379.0893807894777,237.85106999991967,3880.6425450000006,63508.84210526316
1731102155,50,,Aggregated,3.000000,0.000000,800,1600,2700,3300,3700,3900,4900,4900,4900,4900,4900,22,0,790.0,1528.1739100000057,237.85106999991967,4921.887998999978,64447.5
1731102156,50,,Aggregated,3.750000,0.000000,890,2700,3300,3900,5200,5500,5700,5700,5700,5700,5700,25,0,890.0,2001.9069088400106,237.85106999991967,5681.536713000014,67383.52
1731102158,50,,Aggregated,4.200000,0.000000,1100,2700,3700,3900,5500,5700,6400,6400,6400,6400,6400,27,0,1100.0,2166.2610457407513,237.85106999991967,6434.969164999984,68026.66666666667
1731102159,50,,Aggregated,3.714286,0.000000,1600,3300,3900,3900,5500,5700,6400,6400,6400,6400,6400,28,0,1100.0,2229.7827269285785,237.85106999991967,6434.969164999984,68090.25
1731102160,50,,Aggregated,3.714286,0.000000,1600,3300,3900,3900,5500,5700,6400,6400,6400,6400,6400,28,0,1100.0,2229.7827269285785,237.85106999991967,6434.969164999984,68090.25
1731102161,50,,Aggregated,3.000000,0.000000,2000,3900,4900,5500,9200,9700,9900,9900,9900,9900,9900,33,0,2000.0,3203.389547363645,237.85106999991967,9885.627316999944,68670.72727272728
1731102162,50,,Aggregated,2.800000,0.000000,3900,5500,9600,9900,11000,11000,11000,11000,11000,11000,11000,42,0,3700.0,4662.896918595245,237.85106999991967,10950.459185,69482.16666666667
1731102163,50,,Aggregated,2.800000,0.000000,4900,9200,10000,11000,11000,11000,12000,12000,12000,12000,12000,49,0,4900.0,5406.362960591843,237.85106999991967,11841.148209000039,70858.55102040817
1731102164,50,,Aggregated,3.000000,0.000000,6900,11000,11000,12000,13000,13000,13000,13000,13000,13000,13000,70,0,6700.0,6996.985318985725,237.85106999991967,12972.842574999959,70692.74285714286
1731102165,50,,Aggregated,3.600000,0.000000,6400,10000,11000,12000,13000,13000,13000,13000,13000,13000,13000,81,0,6400.0,6750.665837703711,237.85106999991967,13113.665818999947,70365.12345679013
1731102166,50,,Aggregated,3.600000,0.000000,6100,9900,11000,12000,13000,13000,13000,13000,13000,13000,13000,84,0,5900.0,6604.760902202389,237.85106999991967,13113.665818999947,69936.72619047618
1731102167,50,,Aggregated,5.600000,0.000000,5700,9600,11000,11000,13000,13000,13000,15000,15000,15000,15000,92,0,5600.0,6417.385001282615,237.85106999991967,15460.74016199998,68937.70652173914
1731102168,50,,Aggregated,5.600000,0.000000,5700,9600,11000,11000,13000,13000,13000,15000,15000,15000,15000,92,0,5600.0,6417.385001282615,237.85106999991967,15460.74016199998,68937.70652173914
1731102169,50,,Aggregated,6.200000,0.000000,5600,9600,11000,11000,13000,13000,13000,15000,15000,15000,15000,94,0,5500.0,6354.246191510643,237.85106999991967,15460.74016199998,69222.5425531915
1731102170,50,,Aggregated,6.500000,0.000000,5500,8300,11000,11000,13000,13000,13000,13000,15000,15000,15000,101,0,5500.0,6266.265538455448,237.85106999991967,15460.74016199998,69193.66336633664
1731102171,50,,Aggregated,6.600000,0.000000,5500,7100,10000,11000,13000,13000,13000,13000,15000,15000,15000,112,0,5400.0,6248.578047482145,237.85106999991967,15460.74016199998,68882.66964285714
1731102172,50,,Aggregated,7.100000,0.000000,5400,6900,10000,11000,13000,13000,13000,13000,15000,15000,15000,116,0,5300.0,6210.6681903879335,237.85106999991967,15460.74016199998,69310.66379310345
1731102173,50,,Aggregated,7.700000,0.000000,5500,6800,9700,11000,13000,13000,13000,13000,15000,15000,15000,125,0,5500.0,6220.910139168001,237.85106999991967,15460.74016199998,69217.32
1731102174,50,,Aggregated,7.700000,0.000000,5600,6800,9700,11000,13000,13000,13000,13000,15000,15000,15000,127,0,5600.0,6224.707287574804,237.85106999991967,15460.74016199998,69311.82677165355
1731102175,50,,Aggregated,7.400000,0.000000,5600,7000,9400,11000,13000,13000,13000,13000,15000,15000,15000,135,0,5600.0,6239.876249644445,237.85106999991967,15460.74016199998,68457.52592592593
1731102176,50,,Aggregated,7.500000,0.000000,5700,7000,9200,10000,13000,13000,13000,13000,15000,15000,15000,138,0,5600.0,6255.143637289855,237.85106999991967,15460.74016199998,68001.36956521739
1731102177,50,,Aggregated,5.300000,0.000000,5700,7100,9400,11000,13000,13000,13000,13000,15000,15000,15000,144,0,5700.0,6364.8418718194425,237.85106999991967,15460.74016199998,67476.44444444444
1731102178,50,,Aggregated,5.300000,0.000000,5800,7100,9400,10000,13000,13000,13000,13000,15000,15000,15000,146,0,5700.0,6393.786450417806,237.85106999991967,15460.74016199998,67513.66438356164
1731102179,50,,Aggregated,5.200000,0.000000,5800,7000,9000,10000,13000,13000,13000,13000,15000,15000,15000,156,0,5800.0,6396.291924198716,237.85106999991967,15460.74016199998,66750.57051282052
1731102180,50,,Aggregated,5.200000,0.000000,5900,7000,8800,10000,13000,13000,13000,14000,15000,15000,15000,165,0,5900.0,6479.28207262424,237.85106999991967,15460.74016199998,66790.26666666666
1731102181,50,,Aggregated,5.500000,0.000000,5900,7000,8300,10000,13000,13000,14000,15000,15000,15000,15000,178,0,5900.0,6480.768342337076,237.85106999991967,15460.74016199998,67223.2808988764
1731102182,50,,Aggregated,6.200000,0.000000,5800,7000,8300,9900,13000,13000,14000,15000,15000,15000,15000,187,0,5800.0,6415.528151631017,237.85106999991967,15460.74016199998,67376.35828877005
1731102183,50,,Aggregated,6.500000,0.000000,5800,6900,7900,9700,13000,13000,14000,15000,15000,15000,15000,194,0,5800.0,6309.307930376291,237.85106999991967,15460.74016199998,67489.13917525773
1731102184,50,,Aggregated,7.100000,0.000000,5700,6800,7900,9600,13000,13000,14000,15000,15000,15000,15000,198,0,5700.0,6257.001866035356,237.85106999991967,15460.74016199998,67546.17676767676
1731102185,50,,Aggregated,7.100000,0.000000,5600,6800,7800,9400,13000,13000,13000,14000,15000,15000,15000,202,0,5600.0,6205.040423950498,237.85106999991967,15460.74016199998,67159.42574257425
1731102186,50,,Aggregated,7.100000,0.000000,5600,6800,7800,9400,13000,13000,13000,14000,15000,15000,15000,203,0,5600.0,6212.329081019707,237.85106999991967,15460.74016199998,67065.92118226601
1731102187,50,,Aggregated,6.900000,0.000000,5600,6800,7800,9600,13000,13000,14000,14000,15000,15000,15000,205,0,5600.0,6245.432051673172,237.85106999991967,15460.74016199998,67022.80975609756
1731102191,50,,Aggregated,6.700000,0.000000,5700,6800,7800,9600,13000,13000,14000,14000,15000,15000,15000,210,0,5700.0,6278.277853861908,237.85106999991967,15460.74016199998,66935.19047619047
1731102192,50,,Aggregated,4.900000,0.000000,5800,6800,7800,9400,13000,13000,14000,14000,15000,15000,15000,219,0,5800.0,6323.527554794524,237.85106999991967,15460.74016199998,67370.77168949772
