Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https%3A%2F%2Fg1.globo.com%2F,80,0,5800.0,5647.147168162541,1765.8633569999438,11795.620437000252,68079.0,1.3533789267005147,0.0,5800,6200,6600,6800,7200,8600,9900,12000,12000,12000,12000
GET,/?url=https%3A%2F%2Fnews.yahoo.com%2F,81,0,12000.0,11574.826933654247,4741.64152100002,19231.090506999863,46240.82716049383,1.3702961632842712,0.0,12000,13000,14000,14000,15000,16000,17000,19000,19000,19000,19000
GET,/?url=https%3A%2F%2Fwww.bbc.com%2Fportuguese,71,0,2700.0,2969.520365549279,1001.7985369995586,9014.047371999368,20646.225352112677,1.2011237974467068,0.0,2700,3000,3000,3100,3700,4900,8700,9000,9000,9000,9000
GET,/?url=https%3A%2F%2Fwww.cnnbrasil.com.br%2F,84,0,4200.0,4597.336846535732,1452.4200690002544,11132.115942000382,46876.0,1.4210478730355405,0.0,4300,4800,5200,5400,6300,8000,11000,11000,11000,11000,11000
GET,/?url=https%3A%2F%2Fwww.estadao.com.br%2F,75,0,3500.0,3593.251905639992,1505.1162919999115,10241.606542000227,66871.0,1.2687927437817326,0.0,3500,3700,4000,4100,4500,4900,5900,10000,10000,10000,10000
GET,/?url=https%3A%2F%2Fwww.folha.uol.com.br%2F,92,0,4500.0,4785.941020793463,2239.50572800004,11075.862943000175,92313.0,1.556385765705592,0.0,4600,4900,5200,5400,6700,8600,11000,11000,11000,11000,11000
GET,/?url=https%3A%2F%2Fwww.globo.com%2F,69,0,11000.0,11104.011508869555,5858.783286999824,20655.806327999926,47913.27536231884,1.167289324279194,0.0,11000,12000,12000,12000,13000,17000,18000,21000,21000,21000,21000
GET,/?url=https%3A%2F%2Fwww.r7.com%2F,80,0,3100.0,3648.120241475055,1295.4731190002349,10157.540520999646,28891.0,1.3533789267005147,0.0,3100,3500,3900,4200,6500,8200,8900,10000,10000,10000,10000
GET,/?url=https%3A%2F%2Fwww.terra.com.br%2Fnoticias%2F,83,0,2400.0,2841.0823947108943,1519.9556150000717,8046.352188999663,79537.0,1.404130636451784,0.0,2400,2600,2900,3100,4200,7000,7800,8000,8000,8000,8000
GET,/?url=https%3A%2F%2Fwww.uol.com.br%2F,88,0,4400.0,4511.303575613633,682.365003999621,11392.086365999603,80200.56818181818,1.4887168193705662,0.0,4400,5000,5300,5300,5700,6000,10000,11000,11000,11000,11000
,Aggregated,803,0,4200.0,5463.233411983814,682.365003999621,20655.806327999926,59003.6500622665,13.584540976756417,0.0,4200,5400,6600,8100,11000,13000,14000,16000,21000,21000,21000
